name	maxEnrichment	numberClusters	meanEnrichment	meanPValue	sumEnrichment	sumPValue	meanInd	meanDims	meanPheno	time
cosa_small_0.2_2_130	54.0658153296995_1.9388523676697e-13	5_7_12	17.3583117957931_2.36086297883266_8.6097999858995	0.00507926284561796_0.209447185589873_0.124293884446433	86.7915589789654_16.5260408518286_103.317599830794	0.0253963142280898_1.46613029912911_1.4915266133572	49.8_10.8571428571429_27.0833333333333	NA_NA_NA	0.302108917319555_0.319594683664054_0.312308947687179	104.091
cosa_small_0.2_2_30	70.113912973745_5.59767657199829e-17	5_1_6	22.0478978240523_2.28601179906314_18.7542501532208	0.00175046783085009_0.130544984558459_0.023216220618785	110.239489120262_2.28601179906314_112.525500919325	0.00875233915425044_0.130544984558459_0.13929732371271	69_7_58.6666666666667	NA_NA_NA	0.287303869113188_0.354333868378812_0.298475535657459	44.542
cosa_small_0.2_2_80	91.1859039051764_1.30788645288744e-21	7_4_11	20.0479348571378_0.786626013537005_13.0438225503739	0.010350931200256_0.545969632976108_0.205121368209657	140.335543999964_3.14650405414802_143.482048054112	0.072456518401792_2.18387853190443_2.25633505030622	44.4285714285714_8.25_31.2727272727273	NA_NA_NA	0.349711513004485_0.193137254901961_0.292775419149022	116.876
cosa_small_0.2_4_130	43.6877070045653_3.85183675181102e-11	6_7_13	15.1772630626157_1.75930469218578_7.95220855546115	0.00835689986891164_0.279717677598255_0.154474241723173	91.0635783756944_12.3151328453004_103.378711220995	0.0501413992134699_1.95802374318778_2.00816514240125	44.3333333333333_8.28571428571429_24.9230769230769	NA_NA_NA	0.311910552461766_0.297898035618742_0.304365351084753	202.018
cosa_small_0.2_4_30	66.8233650114243_2.96957498101554e-16	4_2_6	27.0211397611651_1.74973742119736_18.5973389811758	0.00689744259909182_0.270312804842654_0.0947025633469458	108.08455904466_3.49947484239471_111.584033887055	0.0275897703963673_0.540625609685307_0.568215380081675	72.5_31_58.6666666666667	NA_NA_NA	0.307210630933664_0.163424777469721_0.25928201311235	89.791
cosa_small_0.2_4_80	40.7309934607306_1.7469433082936e-10	7_6_13	10.5728985007862_1.36495610124326_6.3230789317664	0.0204997825177841_0.510604133213267_0.246701790531084	74.0102895055036_8.18973660745955_82.2000261129631	0.143498477624489_3.0636247992796_3.20712327690409	39.5714285714286_10.8333333333333_26.3076923076923	NA_NA_NA	0.326933488751306_0.203261548064919_0.269854131511435	127.048
cosa_small_0.2_7_130	59.6716505004783_1.12079461581058e-14	6_6_12	16.4304307374668_1.87568222855787_9.15305648301235	0.00607808117540426_0.348493867519697_0.177285974347551	98.582584424801_11.2540933713472_109.836677796148	0.0364684870524256_2.09096320511818_2.12743169217061	41.8333333333333_12.5_27.1666666666667	NA_NA_NA	0.33775507442597_0.226271842356999_0.282013458391484	271.204
cosa_small_0.2_7_30	39.4207554930872_3.41646195088192e-10	4_3_7	16.871287677766_0.216959886410646_9.73371862432801	0.00379153320767155_0.716881853793723_0.309401670601694	67.4851507110641_0.650879659231937_68.1360303702961	0.0151661328306862_2.15064556138117_2.16581169421186	75.25_16.3333333333333_50	NA_NA_NA	0.296246871768471_0.0983229296712443_0.211422325155374	148.63
cosa_small_0.2_7_80	39.122277949662_3.98075622332873e-10	6_3_9	13.3334637808417_2.3715147023398_9.6794807546744	0.00701367583665181_0.152237161631633_0.0554215044349788	80.0007826850502_7.1145441070194_87.1153267920696	0.0420820550199109_0.456711484894898_0.498793539914809	46.8333333333333_18.6666666666667_37.4444444444444	NA_NA_NA	0.329572210076136_0.273285287330231_0.310809902494168	195.171
cosa_small_0.4_2_130	58.4836230972266_2.04990206367994e-14	8_6_14	13.3366765694736_1.60201321939586_8.30753513372601	0.0148923207841927_0.439137403323351_0.196711641872403	106.693412555789_9.61207931637518_116.305491872164	0.119138566273541_2.63482441994011_2.75396298621365	31.125_7.16666666666667_20.8571428571429	NA_NA_NA	0.39740898888268_0.282600732600733_0.348205450476131	100.149
cosa_small_0.4_2_30	110.198792905185_8.86405500119722e-26	6_2_8	30.2408770688645_0.394474500916441_22.7792764268775	0.00613690799515431_0.682186188908199_0.175149228223416	181.445262413187_0.788949001832882_182.23421141502	0.0368214479709259_1.3643723778164_1.40119382578732	55.3333333333333_5_42.75	NA_NA_NA	0.382366794181071_0.2_0.336775095635803	44.722
cosa_small_0.4_2_80	75.6325557072613_3.4168127790355e-18	7_6_13	21.32811502217_1.9604396381901_12.3891879218716	0.017983228130096_0.300070086065769_0.148177162561945	149.29680515519_11.7626378291406_161.059442984331	0.125882596910672_1.80042051639461_1.92630311330529	39.4285714285714_6.83333333333333_24.3846153846154	NA_NA_NA	0.419036859341835_0.329935108586794_0.37791297437797	64.746
cosa_small_0.4_4_130	85.1023714658_2.83310552458306e-20	6_6_12	23.8427071016809_2.07495779978039_12.9588324507307	0.00934959521454986_0.182765067777239_0.0960573314958944	143.056242610085_12.4497467986824_155.505989408768	0.0560975712872992_1.09659040666343_1.15268797795073	42.1666666666667_7.83333333333333_25	NA_NA_NA	0.418127109679574_0.330934343434343_0.374530726556959	172.207
cosa_small_0.4_4_30	112.815711679288_2.36791955498181e-26	4_2_6	44.4343564667306_2.74313643049567_30.537283121319	0.000137242237631099_0.102085750548325_0.0341200783411958	177.737425866923_5.48627286099134_183.223698727914	0.000548968950524397_0.20417150109665_0.204720470047175	80.5_6_55.6666666666667	NA_NA_NA	0.379655767560592_0.425762439807384_0.395024658309523	85.506
cosa_small_0.4_4_80	66.6319048397494_3.27246483497099e-16	5_5_10	23.387486181478_1.10257051299127_12.2450283472346	0.00102812594028176_0.578374367933639_0.289701246936961	116.93743090739_5.51285256495635_122.450283472346	0.00514062970140879_2.8918718396682_2.89701246936961	52.6_7.8_30.2	NA_NA_NA	0.377573790760534_0.173180845371857_0.275377318066195	117.301
cosa_small_0.4_7_130	81.174168571238_2.06675878847218e-19	7_7_14	17.9291013143435_1.94297658322945_9.93603894878649	0.0128728606655644_0.2882624702288_0.150567665447182	125.503709200405_13.6008360826061_139.104545283011	0.0901100246589508_2.0178372916016_2.10794731626055	36.8571428571429_5.28571428571429_21.0714285714286	NA_NA_NA	0.398433001927574_0.366265382557517_0.382349192242546	224.768
cosa_small_0.4_7_30	99.4284427429675_2.03380614245862e-23	4_3_7	44.5810624643724_0.535535852332737_25.7044082020697	0.000417196259863546_0.64887697001045_0.278328527867258	178.324249857489_1.60660755699821_179.930857414488	0.00166878503945419_1.94663091003135_1.9482996950708	79.25_7_48.2857142857143	NA_NA_NA	0.392597625663101_0.178714107365793_0.300933260678541	136.058
cosa_small_0.4_7_80	87.1024137363728_1.03044716294647e-20	7_4_11	21.9998474869076_0.73302492721884_14.2664574652026	0.00661103464890534_0.504811186791037_0.187774726336953	153.998932408353_2.93209970887536_156.931032117228	0.0462772425423374_2.01924474716415_2.06552198970648	39.2857142857143_6.25_27.2727272727273	NA_NA_NA	0.428226381304466_0.229761904761905_0.356057480743535	168.818
doc_big_0.1_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.1_0.25_0.78778073394703
doc_big_0.1_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.1_0.25_0.78778073394703
doc_big_0.1_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.1_0.25_0.78778073394703
doc_big_0.1_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.1_0.25_1.28014369266392
doc_big_0.1_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.1_0.25_1.28014369266392
doc_big_0.1_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.1_0.25_1.28014369266392
doc_big_0.1_0.75_0.393890366973515	0.494735270729114_0.481822578155155	0_3_3	NaN_NaN_0.272901047416039	NaN_NaN_0.634559295838943	0_0_0.818703142248118	0_0_1.90367788751683	NaN_NaN_582.333333333333	NaN_NaN_3845.33333333333	NaN_0.0150653064339753_0.0150653064339753	136.842
doc_big_0.1_0.75_0.393890366973515	0.494735270729114_0.481822578155155	0_3_3	NaN_NaN_0.272901047416039	NaN_NaN_0.634559295838943	0_0_0.818703142248118	0_0_1.90367788751683	NaN_NaN_582.333333333333	NaN_NaN_3845.33333333333	NaN_0.0150653064339753_0.0150653064339753	129.433
doc_big_0.1_0.75_0.393890366973515	0.481734531196521_0.487637694008788	0_3_3	NaN_NaN_0.257164295554636	NaN_NaN_0.644431861975623	0_0_0.771492886663907	0_0_1.93329558592687	NaN_NaN_582.333333333333	NaN_NaN_3845.33333333333	NaN_0.0144175997103192_0.0144175997103192	124.544
doc_big_0.2_0.25_0.393890366973515	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_0.393890366973515
doc_big_0.2_0.25_0.393890366973515	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_0.393890366973515
doc_big_0.2_0.25_0.393890366973515	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_0.393890366973515
doc_big_0.2_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_0.78778073394703
doc_big_0.2_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_0.78778073394703
doc_big_0.2_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_0.78778073394703
doc_big_0.2_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_1.28014369266392
doc_big_0.2_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_1.28014369266392
doc_big_0.2_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.2_0.25_1.28014369266392
doc_big_0.2_0.5_0.393890366973515	5.19372842858906_0.0226685334837381	1_4_5	5.19372842858906_0.956986157414173_1.80433461164915	0.0226685334837381_0.493029219266471_0.398957082109924	5.19372842858906_3.82794462965669_9.02167305824575	0.0226685334837381_1.97211687706588_1.99478541054962	445_325.5_349.4	11476_108_2381.6	0.0477312632249185_0.0214999998482143_0.0267462525235551	177.975
doc_big_0.2_0.5_0.393890366973515	5.19372842858906_0.0226685334837381	1_4_5	5.19372842858906_0.520371324545877_1.45504274535451	0.0226685334837381_0.602017832758805_0.486147972903792	5.19372842858906_2.08148529818351_7.27521372677256	0.0226685334837381_2.40807133103522_2.43073986451896	445_325.5_349.4	11476_108_2381.6	0.0477312632249185_0.0154402232466852_0.0218984312423318	166.009
doc_big_0.2_0.5_0.393890366973515	5.19372842858906_0.0226685334837381	1_3_4	5.19372842858906_0.847230489229323_1.93385497406926	0.0226685334837381_0.522764234951725_0.397740309584728	5.19372842858906_2.54169146768797_7.73541989627703	0.0226685334837381_1.56829270485517_1.59096123833891	445_434_436.75	11476_134_2969.5	0.0477312632249185_0.0171894495631805_0.024824902978615	159.359
doc_big_0.2_0.5_0.78778073394703	1.86344372612325_0.172227870501494	0_5_5	NaN_NaN_1.28895392938302	NaN_NaN_0.366683464506803	0_0_6.4447696469151	0_0_1.83341732253401	NaN_NaN_349.4	NaN_NaN_2476	NaN_0.0239410050216878_0.0239410050216878	221.638
doc_big_0.2_0.5_0.78778073394703	1.85756633662508_0.172905942857803	0_5_5	NaN_NaN_1.01612129811777	NaN_NaN_0.384993083585083	0_0_5.08060649058885	0_0_1.92496541792541	NaN_NaN_349.4	NaN_NaN_2477	NaN_0.0230852540519047_0.0230852540519047	214.987
doc_big_0.2_0.5_0.78778073394703	3.10246386758455_0.078173898317676	0_5_5	NaN_NaN_1.69930723947606	NaN_NaN_0.251250796027204	0_0_8.49653619738028	0_0_1.25625398013602	NaN_NaN_349.4	NaN_NaN_2471.4	NaN_0.0378852894117736_0.0378852894117736	213.779
doc_big_0.2_0.75_0.393890366973515	0.0517866980439681_0.819982947818827	0_2_2	NaN_NaN_0.0517866980439681	NaN_NaN_0.819982947818827	0_0_0.103573396087936	0_0_1.63996589563765	NaN_NaN_873.5	NaN_NaN_5753	NaN_0.00380771460065066_0.00380771460065066	109.567
doc_big_0.2_0.75_0.393890366973515	0.0517866980439681_0.819982947818827	0_2_2	NaN_NaN_0.0517866980439681	NaN_NaN_0.819982947818827	0_0_0.103573396087936	0_0_1.63996589563765	NaN_NaN_873.5	NaN_NaN_5753	NaN_0.00380771460065066_0.00380771460065066	104.706
doc_big_0.2_0.75_0.393890366973515	0.0517866980439681_0.819982947818827	0_2_2	NaN_NaN_0.0517866980439681	NaN_NaN_0.819982947818827	0_0_0.103573396087936	0_0_1.63996589563765	NaN_NaN_873.5	NaN_NaN_5753	NaN_0.00380771460065066_0.00380771460065066	101.652
doc_big_0.2_0.75_0.78778073394703	8.47308546810387_0.00360439534974246	1_3_4	8.47308546810387_1.08560115154996_2.93247223068844	0.00360439534974246_0.470245802887238_0.353585451002864	8.47308546810387_3.25680345464989_11.7298889227538	0.00360439534974246_1.41073740866171_1.41434180401146	373_458_436.75	11476_173.666666666667_2999.25	0.0681367215494658_0.0177704770010291_0.0303620381381383	168.638
